var,blv
be_post,-0.028015622
hco3_post,-0.10868971
paco2_post,-0.32991354
pao2_post,-0.104944097
ph_post,-0.076842853
sao2_post,0.332080916
hb_post,0.664681034
hct_post,0.690143381
lymphocyte_post,-0.653494785
platelet_post,-0.187192119
wbc_post,-0.199103805
albumin_post,0.23379293
alp_post,-0.046642127
alt_post,-0.163055567
ast_post,-0.175109771
bun_post,-0.066870247
calcium_post,0.236046561
chloride_post,-0.539402044
ck_post,-0.106357803
creatinine_post,-0.139924663
glucose_post,-0.488223814
lacate_post,-0.08962348
phosphorus_post,-0.004476534
potassium_post,-0.125020929
sodium_post,0.228433905
total_bilirubin_post,-0.116880967
total_protein_post,-0.042193422
aptt_post,-0.143770578
d_dimer_post,-0.00578046
fibrinogen_post,-0.100232695
ptinr_post,-0.167929232
ckmb_post,-0.087685874
crp_post,-0.242378872
hba1c_post,-0.178139868
troponin_i_post,-0.077401996
troponin_t_post,-0.008669321
mask_be_post,0
mask_hco3_post,0
mask_paco2_post,0
mask_pao2_post,0
mask_ph_post,0
mask_sao2_post,0
mask_hb_post,0
mask_hct_post,0
mask_lymphocyte_post,0
mask_platelet_post,0
mask_wbc_post,0
mask_albumin_post,0
mask_alp_post,0
mask_alt_post,0
mask_ast_post,0
mask_bun_post,0
mask_calcium_post,0
mask_chloride_post,0
mask_ck_post,0
mask_creatinine_post,0
mask_glucose_post,0
mask_lacate_post,0
mask_phosphorus_post,0
mask_potassium_post,0
mask_sodium_post,0
mask_total_bilirubin_post,0
mask_total_protein_post,0
mask_aptt_post,0
mask_d_dimer_post,0
mask_fibrinogen_post,0
mask_ptinr_post,0
mask_ckmb_post,0
mask_crp_post,0
mask_hba1c_post,0
mask_troponin_i_post,0
mask_troponin_t_post,0
op_duration_post,0
or_duration_post,0
an_duration_post,0
cpb_duration_post,-0.150010188
