var,blv
air_in,-1.535648749
etdes_in,-0.489217691
etgas_in,-0.649118227
etiso_in,-0.002228274
etsevo_in,-0.56712639
fio2_in,-1.256100328
n2o_in,-0.095205834
o2_in,-0.803297776
art_dbp_in,0.205114847
art_mbp_in,0.231863925
art_sbp_in,-0.011826571
bis_in,-0.030216789
bt_in,0.397394812
cbro2_in,-0.024882673
ci_in,0.172774479
cvp_in,-0.18631705
hr_in,0.591358041
minvol_in,0.530893447
pap_dbp_in,-0.068340444
pap_mbp_in,-0.028358717
pap_sbp_in,0.023835599
spo2_in,0.364385851
sti_in,0.010129642
stii_in,-0.28472009
stiii_in,0.026910314
stv5_in,-0.06487034
svi_in,0.060187311
etco2_in,-0.100022984
peep_in,-0.982013541
pip_in,-0.183690748
pmean_in,0.315376227
pplat_in,-0.01772162
rr_in,-0.137862068
vt_in,-0.277096037
dobui_in,-0.08980605
dopai_in,-0.077678822
eph_in,-0.145392724
epi_in,-0.008922256
epii_in,-0.017870128
mlni_in,-0.020037025
nepi_in,-0.056614818
ntgi_in,-0.097133184
phe_in,-0.088542104
vaso_in,-0.013230683
VIS_in,-0.017609614
aft_in,-0.000723088
ftn_in,-0.097091396
rfti_in,-0.307992196
sft_in,-0.020024328
mdz_in,-0.02674727
ppf_in,-0.110722502
ppfi_in,-0.266573827
cryo_in,-0.00798494
ffp_in,-0.02685137
pc_in,-0.011663041
pheresis_in,-0.004228433
psa_in,-0.150523395
rbc_in,-0.034099193
d10w_in,-0.000810509
d50w_in,-0.005035839
d5w_in,-0.002805165
hns_in,-0.012048474
hs_in,-0.152468748
ns_in,-0.092953586
TCI_in,-0.175769742
alb20_in,-0.036702406
alb5_in,-0.006062322
alb_in,-0.037182175
hes_in,-0.064567042
ebl_in,-0.160346799
uo_in,-0.154995374
mask_air_in,0
mask_etdes_in,0
mask_etgas_in,0
mask_etiso_in,0
mask_etsevo_in,0
mask_fio2_in,0
mask_n2o_in,0
mask_o2_in,0
mask_art_dbp_in,0
mask_art_mbp_in,0
mask_art_sbp_in,0
mask_bis_in,0
mask_bt_in,0
mask_cbro2_in,0
mask_ci_in,0
mask_cvp_in,0
mask_hr_in,0
mask_minvol_in,0
mask_pap_dbp_in,0
mask_pap_mbp_in,0
mask_pap_sbp_in,0
mask_spo2_in,0
mask_sti_in,0
mask_stii_in,0
mask_stiii_in,0
mask_stv5_in,0
mask_svi_in,0
mask_etco2_in,0
mask_peep_in,0
mask_pip_in,0
mask_pmean_in,0
mask_pplat_in,0
mask_rr_in,0
mask_vt_in,0
mask_dobui_in,0
mask_dopai_in,0
mask_eph_in,0
mask_epi_in,0
mask_epii_in,0
mask_mlni_in,0
mask_nepi_in,0
mask_ntgi_in,0
mask_phe_in,0
mask_vaso_in,0
mask_VIS_in,0
mask_aft_in,0
mask_ftn_in,0
mask_rfti_in,0
mask_sft_in,0
mask_mdz_in,0
mask_ppf_in,0
mask_ppfi_in,0
mask_cryo_in,0
mask_ffp_in,0
mask_pc_in,0
mask_pheresis_in,0
mask_psa_in,0
mask_rbc_in,0
mask_d10w_in,0
mask_d50w_in,0
mask_d5w_in,0
mask_hns_in,0
mask_hs_in,0
mask_ns_in,0
mask_TCI_in,0
mask_alb20_in,0
mask_alb5_in,0
mask_alb_in,0
mask_hes_in,0
mask_ebl_in,0
mask_uo_in,0
