var,blv
air_post,-0.071985195
etdes_post,-0.066963198
etgas_post,-0.057425503
etiso_post,0
etsevo_post,-0.036623697
fio2_post,-0.50957887
n2o_post,-0.018709867
o2_post,-0.074849337
ni_dbp_post,-0.339953102
ni_mbp_post,-0.309961244
ni_sbp_post,-0.447385344
bis_post,0.107694912
bt_post,-0.006375139
cbro2_post,-0.007135179
ci_post,0.028984794
cvp_post,0.10480965
hr_post,0.038345808
minvol_post,1.047348178
pap_dbp_post,-0.040672462
pap_mbp_post,0.009621392
pap_sbp_post,-0.020563859
spo2_post,0.86837565
sti_post,0.006451902
stii_post,-0.092973831
stiii_post,0.021746654
stv5_post,-0.017199438
svi_post,0.008374438
etco2_post,1.189650706
peep_post,-0.101463429
pip_post,1.025150707
pmean_post,1.101220384
pplat_post,0.984758229
rr_post,0.146162488
vt_post,0.997967526
dobui_post,-0.027049916
dopai_post,-0.023672192
eph_post,-0.008888316
epi_post,-0.002415324
epii_post,-0.008209369
mlni_post,-0.016396836
nepi_post,-0.020034492
ntgi_post,-0.016345736
phe_post,-0.011607086
vaso_post,-0.001863355
VIS_post,-0.004853312
aft_post,0
ftn_post,-0.006282477
rfti_post,-0.028473337
sft_post,-0.001943263
mdz_post,-0.00705821
ppf_post,-0.006834827
ppfi_post,-0.026438693
cryo_post,-0.00224091
ffp_post,-0.006187417
pc_post,-0.002620989
pheresis_post,-0.001315128
psa_post,-0.03136907
rbc_post,-0.007917963
d10w_post,-0.000491469
d50w_post,-0.0013605
d5w_post,-0.000941419
hns_post,-0.002924872
hs_post,-0.042739842
ns_post,-0.024860984
TCI_post,-0.048691929
alb20_post,-0.006456397
alb5_post,-0.001101043
alb_post,-0.00652061
hes_post,-0.010475266
ebl_post,-0.018754844
uo_post,-0.053548957
crrt_post,0
ecmo_post,0
iabp_post,0
vent_post,0
gcs_e_post,0.34699382
gcs_m_post,0.277780551
gcs_v_post,0.238684269
dt_post,-0.257873136
mask_air_post,0
mask_etdes_post,0
mask_etgas_post,0
mask_etiso_post,0
mask_etsevo_post,0
mask_fio2_post,0
mask_n2o_post,0
mask_o2_post,0
mask_art_dbp_post,0
mask_art_mbp_post,0
mask_art_sbp_post,0
mask_bis_post,0
mask_bt_post,0
mask_cbro2_post,0
mask_ci_post,0
mask_cvp_post,0
mask_hr_post,0
mask_minvol_post,0
mask_pap_dbp_post,0
mask_pap_mbp_post,0
mask_pap_sbp_post,0
mask_spo2_post,0
mask_sti_post,0
mask_stii_post,0
mask_stiii_post,0
mask_stv5_post,0
mask_svi_post,0
mask_etco2_post,0
mask_peep_post,0
mask_pip_post,0
mask_pmean_post,0
mask_pplat_post,0
mask_rr_post,0
mask_vt_post,0
mask_dobui_post,0
mask_dopai_post,0
mask_eph_post,0
mask_epi_post,0
mask_epii_post,0
mask_mlni_post,0
mask_nepi_post,0
mask_ntgi_post,0
mask_phe_post,0
mask_vaso_post,0
mask_VIS_post,0
mask_aft_post,0
mask_ftn_post,0
mask_rfti_post,0
mask_sft_post,0
mask_mdz_post,0
mask_ppf_post,0
mask_ppfi_post,0
mask_cryo_post,0
mask_ffp_post,0
mask_pc_post,0
mask_pheresis_post,0
mask_psa_post,0
mask_rbc_post,0
mask_d10w_post,0
mask_d50w_post,0
mask_d5w_post,0
mask_hns_post,0
mask_hs_post,0
mask_ns_post,0
mask_TCI_post,0
mask_alb20_post,0
mask_alb5_post,0
mask_alb_post,0
mask_hes_post,0
mask_ebl_post,0
mask_uo_post,0
mask_crrt_post,0
mask_ecmo_post,0
mask_iabp_post,0
mask_vent_post,0
mask_gcs_e_post,0
mask_gcs_m_post,0
mask_gcs_v_post,0
